ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
75,Jun 08 2018 09:41:37,3,1,0.9806,0.995,0.994,0.994,124.8513,125.8513,407.6617,276.1956,2.2122,277.1956,
77,May 07 2018 07:20:26,2,0,0.6438,0.8909,0.8487,0.8487,0.7,0.7,1.8799,1.3308,1.9011,1,
77,May 08 2018 07:01:40,4,1,0.9012,0.8486,0.8572,0.8572,1.3308,1,0.7,0.84,0.8,2.6552,
77,May 14 2018 07:23:10,4,1,0.7877,0.995,0.9369,0.9369,0.84,2.6552,9.7307,6.3963,7.6148,14.0272,
77,May 15 2018 22:58:01,4,1,0.9877,0.805,0.8396,0.8396,6.3963,14.0272,0.9938,7.075,1.1061,8.075,
77,Jun 13 2018 16:35:28,2,0,0.6873,0.9317,0.8878,0.8878,7.075,8.075,25.4504,17.3637,2,1,
78,May 07 2018 07:23:59,1,0,0.6439,0.8612,0.8551,0.8551,0.7,0.7,1.9682,1.378,1.9686,1,
78,May 08 2018 07:00:44,4,1,0.9015,0.7839,0.7872,0.7872,1.378,1,0.7,0.8399,0.8,10.6059,
78,May 14 2018 07:21:03,4,1,0.942,0.995,0.9917,0.9917,0.8399,10.6059,76.1838,45.5937,20,46.5937,
78,May 15 2018 22:56:39,4,1,0.995,0.995,0.995,0.995,45.5937,46.5937,34.676,40.2333,0.8824,41.2333,
78,Jun 13 2018 16:31:29,3,1,0.9292,0.995,0.992,0.992,40.2333,41.2333,378.2672,221.0748,5.4948,222.0748,
79,May 07 2018 07:19:44,3,1,0.9945,0.995,0.995,0.995,47.8656,47.8656,52.395,50.2813,1.0505,51.2813,
79,May 14 2018 06:57:23,4,1,0.9858,0.995,0.9946,0.9946,50.2813,51.2813,135.7278,96.3414,1.916,97.3414,
79,May 15 2018 05:49:07,4,1,0.995,0.9947,0.9947,0.9947,96.3414,97.3414,18.9785,55.5392,0.8,56.4918,
79,Jun 09 2018 20:05:23,4,1,0.9534,0.995,0.9932,0.9932,55.5392,56.4918,394.6762,236.9499,4.2664,237.9499,
80,May 07 2018 07:21:28,2,0,0.686,0.8508,0.8462,0.8462,0.7,0.7,1.5801,1.1705,1.6722,2.8624,
80,May 08 2018 06:59:44,2,0,0.9644,0.7137,0.8061,0.8061,1.1705,2.8624,0.7,1.5809,1.3505,1,
80,May 09 2018 15:47:57,4,1,0.8659,0.7975,0.7994,0.7994,1.5809,1,0.7,0.8709,0.8,10.8609,
80,May 14 2018 06:58:57,4,1,0.9561,0.995,0.9926,0.9926,0.8709,10.8609,65.9777,40.2675,20,41.2675,
80,May 15 2018 05:48:19,4,1,0.995,0.995,0.995,0.995,40.2675,41.2675,19.9883,29.9115,0.8,30.8625,
80,May 23 2018 06:50:14,4,1,0.9729,0.966,0.9665,0.9665,29.9115,30.8625,24.8718,27.6658,0.9249,28.6658,
80,Jun 13 2018 16:33:30,3,1,0.9243,0.995,0.9898,0.9898,27.6658,28.6658,219.8341,130.654,4.7226,131.654,
81,May 07 2018 07:20:43,4,1,0.9945,0.995,0.995,0.995,47.8656,47.8656,52.3921,50.2798,1.0504,51.2798,
81,May 14 2018 07:04:27,4,1,0.9857,0.995,0.9946,0.9946,50.2798,51.2798,136.2932,96.6435,1.9221,97.6435,
81,May 15 2018 05:40:27,4,1,0.995,0.9947,0.9947,0.9947,96.6435,97.6435,18.7544,55.5603,0.8,56.5019,
81,Jun 09 2018 20:09:36,4,1,0.9534,0.995,0.9933,0.9933,55.5603,56.5019,399.8415,239.7151,4.3145,240.7151,
84,May 14 2018 07:05:04,1,0,0.2398,0.995,0.9744,0.9744,0.7,0.7,38.5913,20.9554,2,1,
84,May 15 2018 05:54:03,2,0,0.9047,0.7763,0.7797,0.7797,20.9554,1,0.7,0.8423,0.5,1,
